timestamp,src_ip,dst_ip,src_port,dst_port,protocol,action,severity,payload_size,zone
2026-05-21 15:36:55.399,192.168.10.50,192.168.10.10,60123,500,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:55.642,192.168.10.50,192.168.10.10,51446,501,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:55.905,192.168.10.50,192.168.10.10,50615,502,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:56.155,192.168.10.50,192.168.10.10,64572,503,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:56.406,192.168.10.50,192.168.10.10,56027,504,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:56.660,192.168.10.50,192.168.10.10,46294,505,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:56.909,192.168.10.50,192.168.10.10,42288,506,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:57.171,192.168.10.50,192.168.10.10,40692,507,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:57.425,192.168.10.50,192.168.10.10,55123,508,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:57.668,192.168.10.50,192.168.10.10,59392,509,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:57.920,192.168.10.50,192.168.10.10,55359,510,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:58.172,192.168.10.50,192.168.10.11,47754,500,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:58.422,192.168.10.50,192.168.10.11,47945,501,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:58.669,192.168.10.50,192.168.10.11,61604,502,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:58.932,192.168.10.50,192.168.10.11,42852,503,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:59.186,192.168.10.50,192.168.10.11,42945,504,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:59.435,192.168.10.50,192.168.10.11,43134,505,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:59.684,192.168.10.50,192.168.10.11,54296,506,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:36:59.937,192.168.10.50,192.168.10.11,52380,507,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:00.186,192.168.10.50,192.168.10.11,59811,508,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:00.435,192.168.10.50,192.168.10.11,51849,509,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:00.686,192.168.10.50,192.168.10.11,55865,510,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:00.935,192.168.10.50,192.168.10.20,59566,500,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:01.186,192.168.10.50,192.168.10.20,57283,501,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:01.436,192.168.10.50,192.168.10.20,43483,502,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:01.684,192.168.10.50,192.168.10.20,40981,503,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:01.935,192.168.10.50,192.168.10.20,62255,504,TCP,PORT_SCAN,HIGH,44,OT
2026-05-21 15:37:02.185,192.168.10.50,192.168.10.20,60588,505,TCP,PORT_SCAN,HIGH,44,OT
